"Variable","Coefficient","Std_Error","t_value","p_value","Significance"
"(Intercept)",0.0826220293759027,0.00217603257752622,37.9691141709973,4.79450048895984e-309,"***"
"school_type",0.0153338469306536,0.00534097587117441,2.87098225127947,0.00409448918790031,"**"
"gender_f_Female",0.107122816345317,0.00233262319636208,45.9237550721369,0,"***"
"urban_rural_f_Rural",-0.0669866228930758,0.00233876573903143,-28.6418694164802,2.56116026127803e-178,"***"
"work_type_f_Business",-0.0181246202031963,0.00265648470634709,-6.82278356803315,9.07744338697545e-12,"***"
"R-squared",0.074681013146612,NA,NA,NA,""
"Adj. R-squared",0.0745730947879388,NA,NA,NA,""
"F-statistic",692.013982280681,NA,NA,NA,""
"Observations",34302,NA,NA,NA,""
